scenario,month,beginning_balance,scheduled_principal,prepayment,interest,total_cash_flow,ending_balance
Low Prepayment,35,33424903.24996846,1666666.6666666667,141991.96124191312,153197.4732290221,1961856.1011376018,31616244.62205988
Low Prepayment,36,31616244.62205988,1666666.6666666667,133905.3980878091,144907.7878511078,1945479.8526055836,29815672.557305407
Low Prepayment,37,29815672.557305407,1666666.6666666667,125854.9901830353,136655.16588764978,1929176.822737352,28023150.900455706
Low Prepayment,38,28023150.900455706,1666666.6666666667,117840.57587646393,128439.44162708866,1912946.6841702193,26238643.657912575
Low Prepayment,39,26238643.657912575,1666666.6666666667,109861.99423971381,120260.45009876597,1896789.1110051465,24462114.997006193
Low Prepayment,40,24462114.997006193,1666666.6666666667,101919.0850639191,112118.02706961172,1880703.7788001976,22693529.245275605
Low Prepayment,41,22693529.245275605,1666666.6666666667,94011.68885651228,104012.00904084652,1864690.3645640255,20932850.889752425
Low Prepayment,42,20932850.889752425,1666666.6666666667,86139.6468380215,95942.23324469861,1848748.546749387,19180044.576247737
Low Prepayment,43,19180044.576247737,1666666.6666666667,78302.80093888238,87908.53764113547,1832878.0052466847,17435075.108642187
Low Prepayment,44,17435075.108642187,1666666.6666666667,70500.993796264,79910.76091461003,1817078.4213775408,15697907.448179256
Low Prepayment,45,15697907.448179256,1666666.6666666667,62734.068750908955,71948.74247082158,1801349.4778883974,13968506.71276168
Low Prepayment,46,13968506.71276168,1666666.6666666667,55001.86984398783,64022.322433491034,1785690.8589441455,12246838.176251026
Low Prepayment,47,12246838.176251026,1666666.6666666667,47304.24181396746,56131.34164115054,1770102.2501217849,10532867.267770391
Low Prepayment,48,10532867.267770391,1666666.6666666667,39641.030093493326,48275.64164394762,1754583.3384041078,8826559.57101023
Low Prepayment,49,8826559.57101023,1666666.6666666667,32012.080806285838,40455.064700463554,1739133.8121734161,7127880.823537277
Low Prepayment,50,7127880.823537277,1666666.6666666667,24417.24076405058,32669.453774545855,1723753.361205263,5436796.916106559
Low Prepayment,51,5436796.916106559,1666666.6666666667,16856.357463402248,24918.652532155065,1708441.676662224,3753273.8919764906
Low Prepayment,52,3753273.8919764906,1666666.6666666667,9329.279082802432,17202.505338225583,1693198.4510876946,2077277.9462270215
Low Prepayment,53,2077277.9462270215,1666666.6666666667,1835.8544795110483,9520.857253540515,1678023.3783997183,408775.42508084374
Low Prepayment,54,408775.42508084374,408775.42508084374,0.0,1873.5540316205338,410648.9791124643,0.0
Base Prepayment,1,100000000.0,1666666.6666666667,916522.6706195592,458333.3333333333,3041522.6706195595,97416810.66271378
Base Prepayment,2,97416810.66271378,1666666.6666666667,892445.8747877742,446493.71553743817,3005606.256991879,94857698.12125935
Base Prepayment,3,94857698.12125935,1666666.6666666667,868593.4884056404,434764.4497224387,2970024.604794746,92322437.96618704
Base Prepayment,4,92322437.96618704,1666666.6666666667,844963.4198492788,423144.507345024,2934774.5938609694,89810807.8796711
Base Prepayment,5,89810807.8796711,1666666.6666666667,821553.5969899361,411632.86944849254,2899853.1331050955,87322587.6160145
Base Prepayment,6,87322587.6160145,1666666.6666666667,798361.9670122792,400228.5265733998,2865257.1602523457,84857558.98233555
Base Prepayment,7,84857558.98233555,1666666.6666666667,775386.4962343832,388930.4786690379,2830983.641570088,82415505.81943451
Base Prepayment,8,82415505.81943451,1666666.6666666667,752625.1699293967,377737.7350057415,2797029.571601805,79996213.98283845
Base Prepayment,9,79996213.98283845,1666666.6666666667,730075.9921488701,366649.3140880096,2763391.9729035464,77599471.32402292
Base Prepayment,10,77599471.32402292,1666666.6666666667,707736.9855477301,355664.2435684384,2730067.8957828353,75225067.67180853
Base Prepayment,11,75225067.67180853,1666666.6666666667,685606.1912108856,344781.5601624557,2697054.4180400083,72872794.81393097
Base Prepayment,12,72872794.81393097,1666666.6666666667,663681.6684814501,334000.3095638503,2664348.6447119666,70542446.47878286
Base Prepayment,13,70542446.47878286,1666666.6666666667,641961.4947905641,323319.5463610881,2631947.707818319,68233818.31732564
Base Prepayment,14,68233818.31732564,1666666.6666666667,620443.7654888051,312738.3339544092,2599848.766109881,65946707.88517016
Base Prepayment,15,65946707.88517016,1666666.6666666667,599126.5936791679,302255.74447369657,2568049.0048195315,63680914.62482433
